date,era,run_id,game,code_rev,n,config,parent_or_opponent,vars_changed,vars_confounded,hypothesis,primary_result,uncertainty,reproduced,interpretation_current,interpretation_alt,raw_link
2026-04-27,phase0,measurements,n/a,UNKNOWN,1000,random self-play,n/a,n/a,n/a,size the board/action/window,bbox p99=20-21 max=23; action mean 18.8 max 96; window 25x25 chosen,n/a,n/a,window 25 covers p99 not max (overflow possible),window too small for sprawling strong play,DECISIONS.md
2026-04-27,phase0,reward-norm,n/a,UNKNOWN,1000,tanh(diff/D),n/a,D=20->15,none,pick value normalization,/15 = 93.7% non-saturated,n/a,n/a,D=15 adopted; planned /10 never executed,/15 still saturates 30-80pt margins (F-C2),DECISIONS.md
2026-04-28,phase2,mcts_vs_random_s20,river,UNKNOWN,100,MCTS sims=20 vs random,random,add MCTS,none,does UCT beat random,96/100 = 96.0% +30.9 avg,n/a,n/a,Phase 2 acceptance passed,random is a trivial bar,DECISIONS.md
2026-04-29,phase3,warmstart_canonical,river,UNKNOWN,100/16,6x96 ResNet 100K heuristic tau=0.5,random/vanilla MCTS,cold-start net,none,reach prompt bars T1>=90/T2,T1 88/100 T2 5/16 (both miss),n/a,n/a,promoted as canonical baseline anyway; Phase 3 closed,net barely above heuristic labels,DECISIONS.md
2026-04-29,phase3,v3_finalscore_target,river,UNKNOWN,100,relabel value w/ final-score-diff,virtual_score target,value target source,none,final-score > snapshot value target,84/100 = -4pp val MSE ~4x worse,n/a,n/a,snapshot virtual_score is the better value target,noise (n=100),DECISIONS.md
2026-05-03,phase4,smoke_5iter,river,UNKNOWN,n/a,self-play NN-value leaf,chain-vs-prev,self-play loop,everything,does chain elo climb,chain elo 0->176,n/a,SUPERSEDED,chain-elo illusion (see 05-10),looked like progress,DECISIONS.md
2026-05-10,phase4,30iter_chain,river,UNKNOWN,50,NN-value leaf 30 iters,warmstart_canonical (FIXED),self-play iters,mix-floor+buffer+sims,does chain elo = real strength,chain +612 BUT vs fixed anchor 6W/1D/43L = -330,large,REVERSED,foundational anchor-before-scaling lesson: chain-elo LIES,n/a,DECISIONS.md
2026-05-13,phase4,v6_iter12,river,UNKNOWN,50,NN-value leaf recipe v6,warmstart_canonical,recipe knobs,many,best recipe checkpoint,iter_12 = 70% wr vs warmstart,n/a,n/a,SUPERSEDED by leaf discovery,n/a,DECISIONS.md
2026-05-13,phase4,tier1_vs_v6,river,UNKNOWN,50,Tier-1 1-ply vs iter_12 & warmstart,Tier-1,add Tier-1 opponent,none,is the net above the labeler,Tier-1 beats iter_12 75% and warmstart 77%,n/a,n/a,whole NN-value recipe line is below the 1-ply labeler,n/a,DECISIONS.md
2026-05-14,leaf,hybrid_vs_nnvalue,river,UNKNOWN,50,NN priors + virtual_score leaf,Tier-1,swap NN value -> v1 leaf,none,is the NN value head the bug,Tier-1 wr flips 75%->40% (35pp from 1 knob),n/a,reproduced,the NN value head was actively harmful; leaf-as-value is the fix,n/a,DECISIONS.md
