ckpt_id,path,sha256,role,parent_id,parent_sha256,selfplay_seed_range,code_commit,dirty,promoted,promote_delta_elo,promote_z,notes
champion_iter8,/mnt/c/carc-shared/flywheel_residual_attempt2/ckpt/iter8.pt,0d355002e26a968e913396858aa51b52c95a1903db324c4fbab6849cc279ee2c,WARM_FROM_ROOT,(attempt2 lineage),d1194edaf4b1...,3200-3599,(attempt2),,,,,Production champion (PRODUCTION.yaml). Deepteacher iter1/iter2 warm-from root. NOT the same file as deepteacher/ckpt/iter8.pt.
residual_pt,/mnt/c/carc-shared/lever_seq/ckpt/residual.pt,f1e67cab8a8808184c763c21a8dda7d83fa52b6fa66de5847386166b833b3770,SEALED_BASELINE_USED,(lever_seq),,,, ,,,,"DEFECT: this is the checkpoint the final-segment sealed+washout used as 'iter0'. It is NOT the warm-from (iter8). ITER0_CKPT default (launcher line 89) when the iters10-12 segment was launched without the override."
dt_iter1,/mnt/c/carc-shared/deepteacher/ckpt/iter1.pt,cc6109d9af693df62015a8ccb552bca8c2799975c9d9260efe5fab0c168899aa,lineage,champion_iter8,0d355002e26a,400-799,fdc5ff7bf0,True,no,-2.03,-0.07,parent hash = champion iter8 (CONFIRMED warm-from iter8). Not promoted; best stayed iter0(=iter8).
dt_iter2,/mnt/c/carc-shared/deepteacher/ckpt/iter2.pt,3cbaad8a7e74b3ad4a044d7f20535efa5043bb2e40c15c9656b02b09da260cc1,lineage,champion_iter8,0d355002e26a,800-1199,954bb63435,True,yes,50.43,1.42,Promoted. Independent confirm (band 1.3e9): iter2 vs champion-iter8 @s800 = +53.7/z2.14.
dt_iter3,/mnt/c/carc-shared/deepteacher/ckpt/iter3.pt,332bd789225e7d9c8342046d7fa08b897d1699f5834f2246e33a525ef30bf754,lineage,dt_iter2,3cbaad8a7e74,1200-1599,b989fa6362,True,no,-81.00,-2.36,Rejected.
dt_iter4,/mnt/c/carc-shared/deepteacher/ckpt/iter4.pt,1e4ffafd6e095fc96561c0ce275388edccab1a00cfb9804a89e8a3b967d3ed67,lineage,dt_iter2,3cbaad8a7e74,1600-1999,05f4c93ec2,True,no,-11.83,-0.33,Rejected.
dt_iter5,/mnt/c/carc-shared/deepteacher/ckpt/iter5.pt,ed5d727426b1619f23fd5c3c1af94b58b1a8dc0003a1299d53fea3ae4782e89c,lineage,dt_iter2,3cbaad8a7e74,2000-2399,a276ab2c69,True,no,-39.01,-1.04,Rejected.
dt_iter6,/mnt/c/carc-shared/deepteacher/ckpt/iter6.pt,398917783a48ec7d69ddad81b38407e3259016190eb8b81996f76d5e49dad13c,lineage,dt_iter2,3cbaad8a7e74,2400-2799,2e7b4b8f8b,True,yes,40.49,1.17,Promoted (z<1.5 — noisy gate).
dt_iter7,/mnt/c/carc-shared/deepteacher/ckpt/iter7.pt,62b95f212fce17337763c3cb0fd5610ea4de6580b14eeae3ad4a346046a9745d,lineage,dt_iter6,398917783a48,2800-3199,2e7b4b8f8b,True,yes,21.74,0.62,Promoted (z<1 — noisy gate).
dt_iter8,/mnt/c/carc-shared/deepteacher/ckpt/iter8.pt,ffb67f571eb6385f832c07201c6051c124bba066499b8bf00a1b979f88174ec7,lineage,dt_iter7,62b95f212fce,3200-3599,2e7b4b8f8b,True,yes,42.05,1.24,Promoted. NAMING COLLISION: this is deepteacher's own iter8, NOT the champion.
dt_iter9,/mnt/c/carc-shared/deepteacher/ckpt/iter9.pt,5f6ac3fcfc7b2a509cba1eea6eabaf922c85654bf135a7a259d7d55c2c24cff9,lineage,dt_iter8,ffb67f571eb6,3600-3999,5640a24539,True,yes,6.19,0.16,Promoted. Interim sealed (band 1.6e9): iter9 vs champion-iter8 @s800 = +35.6/z1.21 (n=134 partial).
dt_iter10,/mnt/c/carc-shared/deepteacher/ckpt/iter10.pt,11872ad3c59e856de39be02a1b15ee171d8a764da719f019f482a2566f8aebbc,lineage,dt_iter9,5f6ac3fcfc7b,4000-4399,d3a19e6cee,True,yes,84.04,2.17,Promoted. == warm.pt (last warm staged).
dt_iter11,/mnt/c/carc-shared/deepteacher/ckpt/iter11.pt,3a4142842fd9987b0660f3500126f7d57067ac87fad1a8f99d8417eef8eb716f,lineage,dt_iter10,11872ad3c59e,4400-4799,d3a19e6cee,True,no,-2.05,-0.06,Rejected.
dt_iter12,/mnt/c/carc-shared/deepteacher/ckpt/iter12.pt,059e394cb0a2e1e6bf8c5f04bef2e7eb1f3ea8806fccd9819b8ab0aaa55f7d0c,CHAMPION_OF_RUN,dt_iter10,11872ad3c59e,4800-5199,5cb58f1dde,True,yes,8.81,0.24,"Final champion == best.pt. Promoted on z0.24. vs champion-iter8 @s800 = UNMEASURED (Phase 2). vs iter8 @s200 (spent band 1.7e9) = +15.3/z0.68."
best_pt,/mnt/c/carc-shared/deepteacher/best.pt,059e394cb0a2e1e6bf8c5f04bef2e7eb1f3ea8806fccd9819b8ab0aaa55f7d0c,ALIAS,dt_iter12,11872ad3c59e,4800-5199,5cb58f1dde,True,,,,Byte-identical copy of dt_iter12.
warm_pt,/mnt/c/carc-shared/deepteacher/warm.pt,11872ad3c59e856de39be02a1b15ee171d8a764da719f019f482a2566f8aebbc,ALIAS,dt_iter10,5f6ac3fcfc7b,4000-4399,d3a19e6cee,True,,,,Byte-identical copy of dt_iter10 (last warm staged: iter12 warmed from iter10 after iter11 rejected).
