gen_id,seed,ply,k,phase,legal_n,score_margin_abs,meeples_free,h3200_chosen,h6400_chosen,h12800_chosen,converged_deep,h12800_top_share,h3200_top_share,rod1_chosen,rod1_matches_deep
mp1925000039,1925000039,128,8,pre_endgame,52,6,"[0, 0]",761,733,733,True,0.0253,0.0225,1469,False
mp1925000061,1925000061,128,8,pre_endgame,40,38,"[1, 1]",1574,832,832,True,0.0251,0.025,1572,False
mp1925000009,1925000009,128,8,pre_endgame,50,26,"[0, 0]",837,841,841,True,0.0207,0.0205,1824,False
mp1925000048,1925000048,128,8,pre_endgame,64,10,"[0, 1]",1172,1060,1060,True,0.016,0.0158,1164,False
mp1925000036,1925000036,128,8,pre_endgame,38,4,"[0, 0]",1764,1261,1261,True,0.027,0.0269,660,False
mp1925000051,1925000051,128,8,pre_endgame,51,16,"[0, 0]",961,966,966,True,0.0223,0.0209,967,False
mp1925000042,1925000042,124,10,pre_endgame,39,14,"[0, 0]",757,756,756,True,0.0262,0.0259,756,True
mp1925000032,1925000032,124,10,pre_endgame,29,16,"[1, 1]",1044,863,863,True,0.044,0.0387,1044,False
mp1925000052,1925000052,124,10,pre_endgame,26,4,"[0, 0]",1273,1025,1025,True,0.0405,0.0391,1025,True
mp1925000036,1925000036,124,10,pre_endgame,29,4,"[0, 0]",1167,1537,1537,True,0.0477,0.0409,1167,False
mp1925000068,1925000068,124,10,pre_endgame,38,16,"[1, 0]",828,928,928,True,0.0601,0.0358,928,True
mp1925000079,1925000079,124,10,pre_endgame,33,13,"[0, 0]",1861,1855,1855,True,0.0366,0.0334,1855,True
mp1925000004,1925000004,124,10,pre_endgame,60,42,"[0, 0]",1168,1056,1056,True,0.0167,0.0167,844,False
mp1925000063,1925000063,124,10,pre_endgame,60,13,"[0, 0]",640,1644,1644,True,0.0171,0.017,928,False
mp1925000087,1925000087,124,10,pre_endgame,41,34,"[0, 0]",1742,1749,1749,True,0.0245,0.0247,744,False
mp1925000002,1925000002,124,10,pre_endgame,60,14,"[0, 0]",1839,1742,1742,True,0.0211,0.0187,1743,False
mp1925000024,1925000024,124,10,pre_endgame,37,2,"[0, 0]",1120,835,835,True,0.028,0.0275,960,False
mp1925000089,1925000089,124,10,pre_endgame,44,4,"[0, 0]",1744,1060,1060,True,0.0255,0.0242,1744,False
mp1925000021,1925000021,120,12,pre_endgame,30,1,"[0, 0]",969,870,870,True,0.0352,0.0344,1362,False
mp1925000036,1925000036,120,12,pre_endgame,40,4,"[0, 0]",1450,1661,1661,True,0.0286,0.0266,1450,False
mp1925000064,1925000064,120,12,pre_endgame,37,50,"[0, 1]",1571,1568,1568,True,0.0272,0.0272,839,False
mp1925000011,1925000011,120,12,pre_endgame,60,19,"[1, 1]",837,932,932,True,0.0337,0.0214,932,True
mp1925000089,1925000089,120,12,pre_endgame,41,4,"[0, 0]",1646,1338,1338,True,0.0267,0.0256,1338,True
mp1925000040,1925000040,120,12,pre_endgame,45,21,"[0, 1]",852,1464,1464,True,0.0295,0.0253,868,False
mp1925000033,1925000033,120,12,pre_endgame,33,49,"[0, 0]",968,971,971,True,0.0312,0.0306,968,False
mp1925000018,1925000018,120,12,pre_endgame,109,16,"[0, 0]",1331,1061,1061,True,0.0197,0.0131,1229,False
mp1925000059,1925000059,120,12,pre_endgame,35,4,"[0, 0]",844,847,847,True,0.069,0.0441,844,False
mp1925000074,1925000074,120,12,pre_endgame,46,26,"[0, 1]",834,737,737,True,0.022,0.0219,737,True
mp1925000077,1925000077,120,12,pre_endgame,32,25,"[0, 0]",1175,1062,1062,True,0.0314,0.0316,932,False
mp1925000039,1925000039,120,12,pre_endgame,60,10,"[0, 1]",861,1645,1645,True,0.0274,0.0219,1645,True
mp1925000060,1925000060,116,14,pre_endgame,32,4,"[0, 0]",936,1264,1264,True,0.041,0.0362,1575,False
mp1925000019,1925000019,116,14,pre_endgame,27,34,"[1, 0]",1565,1566,1566,True,0.0452,0.0413,1757,False
mp1925000045,1925000045,116,14,pre_endgame,44,6,"[0, 0]",1232,1234,1234,True,0.0306,0.0266,1234,True
mp1925000051,1925000051,116,14,pre_endgame,44,16,"[0, 0]",1652,1333,1333,True,0.0243,0.0238,953,False
mp1925000055,1925000055,115,14,pre_endgame,51,25,"[0, 0]",1272,1273,1273,True,0.0286,0.0238,1273,True
mp1925000011,1925000011,116,14,pre_endgame,42,22,"[0, 1]",1267,1266,1266,True,0.0526,0.0375,1265,False
mp1925000037,1925000037,116,14,pre_endgame,28,22,"[0, 1]",860,1177,1177,True,0.0389,0.0378,1079,False
mp1925000065,1925000065,116,14,pre_endgame,29,9,"[0, 0]",1224,744,744,True,0.0355,0.035,2056,False
mp1925000031,1925000031,108,18,late_mid,42,16,"[0, 0]",1233,1237,1237,True,0.0322,0.0281,1233,False
mp1925000040,1925000040,108,18,late_mid,58,7,"[0, 0]",1123,1174,1174,True,0.0217,0.0194,825,False
mp1925000084,1925000084,108,18,late_mid,30,16,"[0, 0]",1032,1033,1033,True,0.0425,0.0372,1033,True
