position_id,k,source,in_hand_tile,score_diff_mover,legal_n,n_optimal,sharp,gap,iter8_regret,iter8_action,heur3200_regret,ref_action,ref_regret,iter8_v27,ref_v27,iter8_imm_net,ref_imm_net,iter8_meeple,ref_meeple,iter8_completion,ref_completion,mechanism,v27_axis,raw_path
heur3200_s3502000036_k4,4,heur@3200_selfplay,three_split_road,4,35,7,False,0.0,19.0,1840,14.0,1033,14.0,-17,-17,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000036_k4.json
iter8_s3501000033_k4,4,iter8_selfplay,city_diagonal_top_left_road,5,44,1,True,12.0,13.0,1538,13.0,,,9,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000033_k4.json
greedy_s3500000008_k4,4,greedy_selfplay,city_top_right,12,42,1,True,9.0,12.0,1285,0.0,1527,0.0,26,32,0,18,0,1,False,True,completion,v2.7-rankable,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000008_k4.json
hybrid_8_3200_s3503000027_k4,4,hybrid:8:3200_selfplay,city_diagonal_top_right,-77,28,1,True,11.0,12.0,1534,11.0,1460,11.0,-74,-73,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000027_k4.json
hybrid_8_3200_s3503000015_k4,4,hybrid:8:3200_selfplay,chapel,26,60,4,False,0.0,12.0,928,0.0,1360,0.0,25,25,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000015_k4.json
iter8_s3501000009_k4,4,iter8_selfplay,city_top_road_bend_left,42,43,1,True,3.0,11.0,1564,11.0,,,32,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000009_k4.json
greedy_s3500000032_k4,4,greedy_selfplay,bent_road,-27,49,1,True,3.0,9.0,835,9.0,,,-10,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000032_k4.json
heur3200_s3502000028_k4,4,heur@3200_selfplay,city_diagonal_top_right_flowers,1,48,1,True,9.0,9.0,1441,9.0,,,5,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000028_k4.json
g3200000129_k2,2,greedy_selfplay,bent_road,3,76,1,False,,9.0,1736,8.0,1362,0.0,19,19,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000129_k2.json
heur3200_s3502000034_k4,4,heur@3200_selfplay,straight_road,15,46,2,False,0.0,9.0,1641,9.0,,,11,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000034_k4.json
